Bà La Môn
tĩnh điện kế
tơ hoá học
tư hữu hoá
tươi hơn hớn
tươi roi rói
tương lai học
tạp phí lù
tản thực vật
tất tần tật
tầm nhìn xa
tẩy rửa tiền
tập hợp con
tập thể dục
tập thể hoá
tập đoàn quân
tập đại thành
tẻo tèo teo
tỉ lệ nghịch
tỉ lệ thuận
tỉ lệ thức
tỉnh như không
tỉnh uỷ viên
tối huệ quốc
tối hậu thư
tổ dân phố
tổ đổi công
tổng biên tập
tổng bãi công
tổng bí thư
tổng chỉ huy
tổng công ti
tổng công ty
tổng cục trưởng
tổng diễn tập
tổng dự toán
tổng giám mục
tổng giám đốc
tổng hành dinh
tổng khởi nghĩa
tổng khủng hoảng
tổng kim ngạch
tổng liên đoàn
tổng lãnh sự
tổng ngân sách
tổng phát hành
tổng phản công
tổng sản lượng
tổng sản phẩm
tổng tham mưu
tổng thanh tra
tổng thư kí
tổng thư ký
tổng tiến công
tổng tuyển cử
tổng tư lệnh
tổng tấn công
tổng vệ sinh
tổng đại diện
tổng động viên
tội gì mà
tội phạm học
tờ mờ đất
tụ huyết trùng
tủ chữa cháy
từ kiêng kị
từ kiêng kỵ
từ nguyên học
từ phản nghĩa
từ trái nghĩa
từ vựng học
từ điển học
từ đồng nghĩa
từ đồng âm
tử vì đạo
tự nhiên học
tự phục vụ
tự động hoá
tỷ lệ nghịch
tỷ lệ thuận
tỷ lệ thức
uỷ nhiệm thư
van an toàn
vi khí hậu
vi phẫu thuật
vi sinh vật
vi xử lí
vi xử lý
vi điện tử
việc đã rồi
viện bảo tàng
viện hàn lâm
viện kiểm sát
viện quí tộc
viện quý tộc
vua phá lưới
vung thiên địa
vung tàn tán
vuốt râu hùm
vành móng ngựa
vành đai trắng
vãi linh hồn
vòi hoa sen
vòng nguyệt quế
vòng tránh thai
vô chính phủ
vô cùng tận
vô căn cứ
vô giá trị
vô giáo dục
vô hiệu hoá
vô hình trung
vô kì hạn
vô kỉ luật
vô kỳ hạn
vô kỷ luật
vô liêm sỉ
vô nguyên tắc
vô nhân đạo
vô sản hoá
vô thiên lủng
vô thần luận
vô thời hạn
vô thừa nhận
vô trách nhiệm
vô tuyến điện
vô tích sự
vô tư lự
vô tổ chức
vô tội vạ
vô ý thức
vô điều kiện
võ sĩ đạo
vú cao su
văn bản học
văn hoá phẩm
văn học sử
văn nghệ sĩ
văn phòng phẩm
vũ khí lạnh
vườn bách thú
vườn bách thảo
vườn quốc gia
vườn địa đàng
vạn niên thanh
